season;strata;sex;age;КС;НП;ПО;count
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;1;0;1;14
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;1;1;0;4
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;1;1;1;7
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;0;0;0;0
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;0;0;1;162
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;0;1;0;61
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;0;1;1;16
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;1;0;0;123
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;1;0;1;41
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;1;1;0;23
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;1;1;1;20
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;0;0;0;0
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;0;0;1;100
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;0;1;0;58
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;0;1;1;7
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;1;0;0;167
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;1;0;1;23
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;1;1;0;27
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;1;1;1;7
