year_season;strata;sex;age;obs;unobs;est;ci_lower;ci_upper;method;degenerate_share;n_boot_used
2023/2024;Мужчины, 35‒49;Мужчины;35‒49;470;717;1187;1006;1423;zelterman;0.0;1000.0
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;392;686;1078;919;1353;chao;0.0;1000.0
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;392;546;938;758;1224;loglin_nonsaturated;;
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;392;1117;1509;1029;2327;loglin_saturated;;
2023/2024;Мужчины, 50‒79;Мужчины;50‒79;392;680;1072;905;1355;zelterman;0.0;1000.0
2024/2025;total;total;total;1278;2513;3791;3405;4844;chao;0.02;982.0
2024/2025;total;total;total;1278;2407;3685;2954;4974;loglin_nonsaturated;;
2024/2025;total;total;total;1278;4066;5344;3584;8734;loglin_saturated;;
2024/2025;total;total;total;1278;2530;3808;3394;4909;zelterman;0.02;982.0
2024/2025;Женщины;Женщины;total;182;557;739;518;1517;chao;0.02;982.0
2024/2025;Женщины;Женщины;total;182;295;477;364;663;loglin_nonsaturated;;
2024/2025;Женщины;Женщины;total;182;499;681;442;1152;loglin_saturated;;
2024/2025;Женщины;Женщины;total;182;577;759;520;1569;zelterman;0.02;982.0
2024/2025;Женщины, 18‒34;Женщины;18‒34;24;45;69;38;266;chao;0.01;987.0
2024/2025;Женщины, 18‒34;Женщины;18‒34;24;39;63;49;98;loglin_nonsaturated;;
2024/2025;Женщины, 18‒34;Женщины;18‒34;24;67;91;61;168;loglin_saturated;;
2024/2025;Женщины, 18‒34;Женщины;18‒34;24;46;70;38;276;zelterman;0.01;987.0
2024/2025;Женщины, 35‒49;Женщины;35‒49;70;372;442;231;1164;chao;0.01;995.0
2024/2025;Женщины, 35‒49;Женщины;35‒49;70;111;181;145;264;loglin_nonsaturated;;
2024/2025;Женщины, 35‒49;Женщины;35‒49;70;189;259;176;445;loglin_saturated;;
2024/2025;Женщины, 35‒49;Женщины;35‒49;70;393;463;236;1193;zelterman;0.01;995.0
2024/2025;Женщины, 50‒79;Женщины;50‒79;88;140;228;165;355;chao;0.0;1000.0
2024/2025;Женщины, 50‒79;Женщины;50‒79;88;145;233;160;307;loglin_nonsaturated;;
2024/2025;Женщины, 50‒79;Женщины;50‒79;88;242;330;193;548;loglin_saturated;;
2024/2025;Женщины, 50‒79;Женщины;50‒79;88;138;226;159;354;zelterman;0.0;1000.0
2024/2025;Мужчины;Мужчины;total;1096;1955;3051;2746;3536;chao;0.0;1000.0
2024/2025;Мужчины;Мужчины;total;1096;2112;3208;2575;4333;loglin_nonsaturated;;
2024/2025;Мужчины;Мужчины;total;1096;3568;4664;3090;7657;loglin_saturated;;
2024/2025;Мужчины;Мужчины;total;1096;1953;3049;2722;3561;zelterman;0.0;1000.0
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;186;216;402;330;518;chao;0.0;1000.0
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;186;281;467;359;637;loglin_nonsaturated;;
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;186;480;666;435;1105;loglin_saturated;;
2024/2025;Мужчины, 18‒34;Мужчины;18‒34;186;208;394;320;513;zelterman;0.0;1000.0
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;498;818;1316;1123;1592;chao;0.0;1000.0
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;498;796;1294;1013;1712;loglin_nonsaturated;;
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;498;1355;1853;1219;2937;loglin_saturated;;
2024/2025;Мужчины, 35‒49;Мужчины;35‒49;498;815;1313;1107;1601;zelterman;0.0;1000.0
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;412;921;1333;1089;1684;chao;0.0;1000.0
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;412;1035;1447;1132;2033;loglin_nonsaturated;;
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;412;1733;2145;1402;3681;loglin_saturated;;
2024/2025;Мужчины, 50‒79;Мужчины;50‒79;412;930;1342;1090;1709;zelterman;0.0;1000.0
2025/2026;total;total;total;1124;2256;3380;3052;4015;chao;0.01;987.0
2025/2026;total;total;total;1124;1459;2583;2276;2946;loglin_nonsaturated;;
2025/2026;total;total;total;1124;4892;6016;3788;10384;loglin_saturated;;
2025/2026;total;total;total;1124;2277;3401;3056;4051;zelterman;0.01;987.0
2025/2026;Женщины;Женщины;total;150;323;473;362;867;chao;0.01;987.0
2025/2026;Женщины;Женщины;total;150;235;385;313;472;loglin_nonsaturated;;
2025/2026;Женщины;Женщины;total;150;787;937;565;1654;loglin_saturated;;
2025/2026;Женщины;Женщины;total;150;328;478;363;893;zelterman;0.01;987.0
2025/2026;Женщины, 18‒34;Женщины;18‒34;28;66;94;51;366;chao;0.01;987.0
2025/2026;Женщины, 18‒34;Женщины;18‒34;28;32;60;38;72;loglin_nonsaturated;;
2025/2026;Женщины, 18‒34;Женщины;18‒34;28;106;134;74;240;loglin_saturated;;
2025/2026;Женщины, 18‒34;Женщины;18‒34;28;67;95;49;378;zelterman;0.01;987.0
2025/2026;Женщины, 35‒49;Женщины;35‒49;53;89;142;91;306;chao;0.0;1000.0
2025/2026;Женщины, 35‒49;Женщины;35‒49;53;80;133;114;181;loglin_nonsaturated;;
2025/2026;Женщины, 35‒49;Женщины;35‒49;53;272;325;203;579;loglin_saturated;;
2025/2026;Женщины, 35‒49;Женщины;35‒49;53;93;146;91;325;zelterman;0.0;1000.0
2025/2026;Женщины, 50‒79;Женщины;50‒79;69;168;237;154;479;chao;0.0;1000.0
2025/2026;Женщины, 50‒79;Женщины;50‒79;69;123;192;145;237;loglin_nonsaturated;;
2025/2026;Женщины, 50‒79;Женщины;50‒79;69;409;478;280;853;loglin_saturated;;
2025/2026;Женщины, 50‒79;Женщины;50‒79;69;168;237;152;477;zelterman;0.0;1000.0
2025/2026;Мужчины;Мужчины;total;974;1933;2907;2581;3403;chao;0.0;1000.0
2025/2026;Мужчины;Мужчины;total;974;1224;2198;1936;2509;loglin_nonsaturated;;
2025/2026;Мужчины;Мужчины;total;974;4105;5079;3196;8730;loglin_saturated;;
2025/2026;Мужчины;Мужчины;total;974;1949;2923;2578;3433;zelterman;0.0;1000.0
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;139;258;397;298;603;chao;0.0;1000.0
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;139;165;304;250;387;loglin_nonsaturated;;
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;139;555;694;435;1243;loglin_saturated;;
2025/2026;Мужчины, 18‒34;Мужчины;18‒34;139;265;404;298;619;zelterman;0.0;1000.0
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;446;748;1194;1017;1444;chao;0.0;1000.0
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;446;417;863;746;984;loglin_nonsaturated;;
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;446;1418;1864;1170;3107;loglin_saturated;;
2025/2026;Мужчины, 35‒49;Мужчины;35‒49;446;759;1205;1013;1473;zelterman;0.0;1000.0
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;389;927;1316;1061;1672;chao;0.0;1000.0
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;389;642;1031;878;1230;loglin_nonsaturated;;
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;389;2132;2521;1542;4524;loglin_saturated;;
2025/2026;Мужчины, 50‒79;Мужчины;50‒79;389;926;1315;1053;1689;zelterman;0.0;1000.0
